environment,strategy,survival_prob,cash_q10,cash_med,cash_q90,dscr_q10,dscr_med,dscr_q90,median_time_to_insolvency_months,share_insolvent_by_T,median_time_to_breakeven_months
Baseline,II_staged_Base,1.0,509685.66026555386,550019.729822818,592161.9183823927,3.8061549247058477,4.87603034494574,6.101043999444878,,0.0,7.0
Baseline,I_all_upfront_Base,1.0,517747.59969547647,552105.439280251,577430.7127142815,3.3557256462288536,4.233503023456755,5.100834041091302,,0.0,7.0
Boom,II_staged_Base,1.0,528713.5886110491,564302.5460489914,596604.5261818041,4.491061581218417,5.2753981105559715,6.8836154627264765,,0.0,7.0
Boom,I_all_upfront_Base,1.0,524907.3548312937,552098.3986117359,591244.5410974827,3.534551259775117,4.569089806579116,6.131200297120084,,0.0,7.0
GreatDepression,II_staged_Base,0.99,199820.61665956044,266483.16273519536,331941.5161394307,0.4372775188851897,1.925882679498641,3.727860834778862,12.0,0.01,10.0
GreatDepression,I_all_upfront_Base,1.0,206478.9308599552,270432.80689907365,328069.30072575813,0.5317787614374381,1.669499521369313,2.894409829437177,,0.0,10.0
Recession,II_staged_Base,1.0,436297.26684724574,475300.5962712256,516920.1546695199,2.6361698860415705,3.7725804354490835,5.186909283921829,,0.0,9.0
Recession,I_all_upfront_Base,1.0,435236.836616359,476227.9662947209,517782.2633091088,1.946211736475676,3.2219077631259685,4.0845577061098455,,0.0,9.0
SlowRecovery_Grant25k_M4,II_staged_Base,1.0,516218.77171118546,558980.5959516147,587039.3610116695,3.2254060380220775,4.709638579520945,5.5277846728510935,,0.0,8.0
SlowRecovery_Grant25k_M4,I_all_upfront_Base,1.0,517994.8861857637,556581.0258360938,591739.0878680127,2.8078765568521806,3.712068845834267,4.726109872307519,,0.0,7.5
